Computerlabor CA 0514;6;E360-01;Nicht buchbar;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29,;CA0514;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CA0514
Computerlabor CA 0518;3;E360-01;Nicht buchbar;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29,;CA0518;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CA0518
Computerlabor CA0510;6;E360-01;Nicht buchbar;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29,;CA0510;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CA0510
Computerlabor CH0217;18;E362;Nicht buchbar;Verfügbar;ZMNS;Gußhausstraße 25-25a,;CH0217;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CH0217
DSLab;24;E194;Nicht buchbar;Verfügbar;Institutsgebäude;Argentinierstraße 8,;EAU120B;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EAU120B
EDV Praktikum Physik;32;E134;Lokal;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 1. OG;DB01E09;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DB01E09
EDV-Raum. DA grün 02 D;28;E129;Lokal;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, , Turm A, grüner Bereich, 2. OG;DA02K20;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DA02K20
EI 1 Petritsch HS;63;;Zentral;Verfügbar;Haupttrakt;Gußhausstraße 25-25a, 2. Stock;CF0242;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0242
EI 10 Fritz Paschke HS - UIW;151;;Zentral;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29, Stiege 1, Erdgeschoss;CAEG31;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CAEG31
EI 11 Geodäsie HS - GEO;81;;Zentral;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29, Stiege 1, 3. Stock;CD0304;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CD0304
EI 2 Pichelmayer HS - ETIT;135;;Zentral;Verfügbar;Haupttrakt;Gußhausstraße 25-25a, 2. Stock;CF0235;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0235
EI 3 Sahulka HS - UIW;184;;Zentral;Verfügbar;Haupttrakt;Gußhausstraße 25-25a, 2. Stock;CF0205;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0205
EI 3A Hörsaal;59;;Zentral;Verfügbar;Haupttrakt;Gußhausstraße 25-25a, 2. Stock;CF0213;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0213
EI 4 Reithoffer HS;90;;Zentral;Verfügbar;Haupttrakt;Gußhausstraße 25-25a, 2. Stock;CF0245;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0245
EI 5 Hochenegg HS;114;;Zentral;Verfügbar;Haupttrakt;Gußhausstraße 25-25a, 2. Stock;CF0229;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0229
EI 6 Eckert HS;30;;Zentral;Verfügbar;Haupttrakt;Gußhausstraße 25-25a, Stiege 10, 6. Stock;CF0453;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0453
EI 7 Hörsaal - ETIT;434;;Zentral;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29, Stiege 1, Erdgeschoss;CDEG13;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CDEG13
EI 8 Pötzl HS - QUER;139;;Zentral;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29, Stiege 1, Erdgeschoss;CDEG08;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CDEG08
EI 9 Hlawka HS - ETIT;181;;Zentral;Verfügbar;Gußhausstr. 27-29 - Neu El;Gußhausstraße 25-29, Stiege 1, Erdgeschoss;CAEG17;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CAEG17
Ersatzraum Prechtlsaal 1;10;E299-01;Lokal & zentral;Verfügbar;Erzherzog-Johann-Pl. 1;Erzherzog-Johann-Platz 1,;FCEG13A;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=FCEG13A
Ersatzraum Prechtlsaal 2;25;E299-01;Lokal & zentral;Verfügbar;Erzherzog-Johann-Pl. 1;Erzherzog-Johann-Platz 1,;FBEG13;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=FBEG13
Ersatzraum Prechtlsaal 3;10;E299-01;Lokal & zentral;Verfügbar;Erzherzog-Johann-Pl. 1;Erzherzog-Johann-Platz 1,;FBEG09;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=FBEG09
FAV Hörsaal 1 - INF;106;;Zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11, Erdgeschoß;HEEG02;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG02
FAV Hörsaal 2;35;;Zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11, Erdgeschoß;HEEG03;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HEEG03
FAV Hörsaal 3 Zemanek (Seminarraum Zemanek);40;;Zentral;Verfügbar;Institutsgebäude;Favoritenstraße 9-11, Erdgeschoß;HHEG01;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=HHEG01
FG Labs Fleig/Opitz/Fafilek 1;3;E150;Nicht buchbar;Verfügbar;Lehartrakt;Lehargasse 4,;BCEGH21;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BCEGH21
FG Labs Fleig/Opitz/Fafilek 3;3;E150;Nicht buchbar;Verfügbar;Lehartrakt;Lehargasse 4,;BCEGH31;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BCEGH31
FH 8 Nöbauer HS - MATH;203;;Zentral;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG;DB02H12;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DB02H12
FH Hörsaal 1 - MWB;383;;Zentral;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm C, roter Bereich, 1. u. 2. OG;DC02H03;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DC02H03
FH Hörsaal 2;53;;Zentral;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG;DB02O23;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DB02O23
FH Hörsaal 3 - MATH;86;;Zentral;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG;DB02O13;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DB02O13
FH Hörsaal 4;54;;Zentral;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG;DB02O05;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DB02O05
FH Hörsaal 5 - TPH;198;;Zentral;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 2. OG;DA02G15;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DA02G15
FH Hörsaal 6 - TPH;198;;Zentral;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 2. OG;DA02K01;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DA02K01
FH Hörsaal 7 - GEO;70;;Zentral;Verfügbar;Freihausgebäude;Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG;DB02H04;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DB02H04
Forschungslabor;5;E150;Nicht buchbar;Verfügbar;Institutsgebäude;Gumpendorfer Straße 1a,;BH03A01;https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BH03A01
